drugname,outcome_code,count
ALENDRONATE,Other Serious Outcome,115
ALENDRONATE SODIUM,Congenital Anomaly,1125
ALENDRONATE SODIUM,Death,2427
ALENDRONATE SODIUM,Disability,2488
ALENDRONATE SODIUM,Hospitalization,2232
ALENDRONATE SODIUM,Life Threatening,2405
ALENDRONATE SODIUM,Other Serious Outcome,2680
ALENDRONATE SODIUM,Required Intervention,2
ALENDRONATE SODIUM\CHOLECALCIFEROL,Other Serious Outcome,3
ALENDRONIC ACID,Congenital Anomaly,2660
ALENDRONIC ACID,Death,4289
ALENDRONIC ACID,Disability,4037
ALENDRONIC ACID,Hospitalization,4529
ALENDRONIC ACID,Life Threatening,4296
ALENDRONIC ACID,Other Serious Outcome,4821
ALEVE,Congenital Anomaly,131
ALEVE,Death,393
ALEVE,Disability,392
ALEVE,Hospitalization,404
ALEVE,Life Threatening,392
ALEVE,Other Serious Outcome,396
ALFENTANIL,Life Threatening,2
ALFENTANIL,Other Serious Outcome,2
ALFUZOSIN,Hospitalization,3
ALFUZOSIN,Life Threatening,11
ALFUZOSIN,Other Serious Outcome,63
ALFUZOSIN HYDROCHLORIDE,Disability,1
ALFUZOSIN HYDROCHLORIDE,Other Serious Outcome,3
ALFUZOSIN HYDROCHLORIDE EXTENDED RELEASE,Hospitalization,2
ALGLUCOSIDASE ALFA,Hospitalization,3
ALGLUCOSIDASE ALFA,Other Serious Outcome,10
ALHEMO,Death,1
ALHEMO,Hospitalization,4
ALHEMO,Other Serious Outcome,3
ALIMTA,Death,21
ALIMTA,Hospitalization,60
ALIMTA,Life Threatening,29
ALIMTA,Other Serious Outcome,45
ALISKIREN,Death,47
ALISKIREN,Hospitalization,72
ALISKIREN,Life Threatening,54
ALISKIREN,Other Serious Outcome,119
ALKA SELTZER PLUS COLD,Other Serious Outcome,3
"ALKA SELTZER PLUS MAXIMUM STRENGTH SINUS, ALLERGY AND COUGH POWER MAX GELS",Other Serious Outcome,1
ALKA SELTZER PLUS SEVERE COLD AND FLU POWERFAST FIZZ,Other Serious Outcome,1
ALKA-SELTZER GOLD,Other Serious Outcome,2
ALKA-SELTZER ORIGINAL,Other Serious Outcome,2
ALKA-SELTZER PLUS COLD AND COUGH FORMULA,Other Serious Outcome,2
ALKA-SELTZER PLUS COLD DAY AND NIGHT POWERMAX GELS,Other Serious Outcome,1
ALKA-SELTZER PLUS COLD FORMULA,Other Serious Outcome,1
"ALKA-SELTZER PLUS MAXIMUM STRENGTH COUGH, MUCUS AND CONGESTION DAY AND NIGHT",Other Serious Outcome,5
"ALKA-SELTZER PLUS MAXIMUM STRENGTH COUGH, MUCUS AND CONGESTION POWERMAX",Other Serious Outcome,4
ALKA-SELTZER PLUS MAXIMUM STRENGTH DAY AND NIGHT COLD AND FLU POWERMAX GELS,Other Serious Outcome,6
ALKA-SELTZER PLUS NOS,Other Serious Outcome,1
ALKA-SELTZER PLUS SEVERE COUGH MUCUS AND CONGESTION LIQUID GELS,Other Serious Outcome,3
ALKINDI SPRINKLE,Hospitalization,25
ALKINDI SPRINKLE,Other Serious Outcome,22
ALLEGRA,Disability,14
ALLEGRA ALLERGY,Death,2
ALLEGRA ALLERGY,Other Serious Outcome,2
ALLERGENIC EXTRACTS,Other Serious Outcome,8
ALLI,Other Serious Outcome,20
ALLOPURINOL,Congenital Anomaly,74
ALLOPURINOL,Death,355
ALLOPURINOL,Disability,227
ALLOPURINOL,Hospitalization,493
ALLOPURINOL,Life Threatening,253
ALLOPURINOL,Other Serious Outcome,583
ALOE,Death,1
ALOE,Hospitalization,12
ALOE,Other Serious Outcome,4
ALOGLIPTIN,Other Serious Outcome,2
ALORA,Required Intervention,2
ALPELISIB,Congenital Anomaly,2
ALPELISIB,Death,2
ALPELISIB,Hospitalization,14
ALPELISIB,Other Serious Outcome,48
ALPHAGAN P,Death,1
ALPHAGAN P,Disability,2
ALPHAGAN P,Hospitalization,23
ALPHAGAN P,Other Serious Outcome,29
ALPRAZOLAM,Death,193
